raw_week_label,week_label,week_start,week_end,year,week_number,month_number,month_label,quarter_label,display_label
2021W44,2021W44,2021-10-24,2021-10-30,2021,44,10,Oct 2021,Q4,2021 Week 44
2021W45,2021W45,2021-10-31,2021-11-06,2021,45,10,Oct 2021,Q4,2021 Week 45
2021W46,2021W46,2021-11-07,2021-11-13,2021,46,11,Nov 2021,Q4,2021 Week 46
2021W47,2021W47,2021-11-14,2021-11-20,2021,47,11,Nov 2021,Q4,2021 Week 47
2021W48,2021W48,2021-11-21,2021-11-27,2021,48,11,Nov 2021,Q4,2021 Week 48
2021W49,2021W49,2021-11-28,2021-12-04,2021,49,11,Nov 2021,Q4,2021 Week 49
2021W50,2021W50,2021-12-05,2021-12-11,2021,50,12,Dec 2021,Q4,2021 Week 50
2021W51,2021W51,2021-12-12,2021-12-18,2021,51,12,Dec 2021,Q4,2021 Week 51
2021W52,2021W52,2021-12-19,2021-12-25,2021,52,12,Dec 2021,Q4,2021 Week 52
2021W53,2021W53,2021-12-26,2022-01-01,2021,53,12,Dec 2021,Q4,2021 Week 53
2022W02,2022W02,2022-01-02,2022-01-08,2022,2,1,Jan 2022,Q1,2022 Week 02
2022W03,2022W03,2022-01-09,2022-01-15,2022,3,1,Jan 2022,Q1,2022 Week 03
2022W04,2022W04,2022-01-16,2022-01-22,2022,4,1,Jan 2022,Q1,2022 Week 04
2022W05,2022W05,2022-01-23,2022-01-29,2022,5,1,Jan 2022,Q1,2022 Week 05
2022W06,2022W06,2022-01-30,2022-02-05,2022,6,1,Jan 2022,Q1,2022 Week 06
2022W07,2022W07,2022-02-06,2022-02-12,2022,7,2,Feb 2022,Q1,2022 Week 07
2022W08,2022W08,2022-02-13,2022-02-19,2022,8,2,Feb 2022,Q1,2022 Week 08
2022W09,2022W09,2022-02-20,2022-02-26,2022,9,2,Feb 2022,Q1,2022 Week 09
2022W10,2022W10,2022-02-27,2022-03-05,2022,10,2,Feb 2022,Q1,2022 Week 10
2022W11,2022W11,2022-03-06,2022-03-12,2022,11,3,Mar 2022,Q1,2022 Week 11
2022W12,2022W12,2022-03-13,2022-03-19,2022,12,3,Mar 2022,Q1,2022 Week 12
2022W13,2022W13,2022-03-20,2022-03-26,2022,13,3,Mar 2022,Q1,2022 Week 13
2022W14,2022W14,2022-03-27,2022-04-02,2022,14,3,Mar 2022,Q1,2022 Week 14
2022W15,2022W15,2022-04-03,2022-04-09,2022,15,4,Apr 2022,Q2,2022 Week 15
2022W16,2022W16,2022-04-10,2022-04-16,2022,16,4,Apr 2022,Q2,2022 Week 16
2022W17,2022W17,2022-04-17,2022-04-23,2022,17,4,Apr 2022,Q2,2022 Week 17
2022W18,2022W18,2022-04-24,2022-04-30,2022,18,4,Apr 2022,Q2,2022 Week 18
2022W19,2022W19,2022-05-01,2022-05-07,2022,19,5,May 2022,Q2,2022 Week 19
2022W20,2022W20,2022-05-08,2022-05-14,2022,20,5,May 2022,Q2,2022 Week 20
2022W21,2022W21,2022-05-15,2022-05-21,2022,21,5,May 2022,Q2,2022 Week 21
2022W22,2022W22,2022-05-22,2022-05-28,2022,22,5,May 2022,Q2,2022 Week 22
2022W23,2022W23,2022-05-29,2022-06-04,2022,23,5,May 2022,Q2,2022 Week 23
2022W24,2022W24,2022-06-05,2022-06-11,2022,24,6,Jun 2022,Q2,2022 Week 24
2022W25,2022W25,2022-06-12,2022-06-18,2022,25,6,Jun 2022,Q2,2022 Week 25
2022W26,2022W26,2022-06-19,2022-06-25,2022,26,6,Jun 2022,Q2,2022 Week 26
2022W27,2022W27,2022-06-26,2022-07-02,2022,27,6,Jun 2022,Q2,2022 Week 27
2022W28,2022W28,2022-07-03,2022-07-09,2022,28,7,Jul 2022,Q3,2022 Week 28
2022W29,2022W29,2022-07-10,2022-07-16,2022,29,7,Jul 2022,Q3,2022 Week 29
2022W30,2022W30,2022-07-17,2022-07-23,2022,30,7,Jul 2022,Q3,2022 Week 30
2022W31,2022W31,2022-07-24,2022-07-30,2022,31,7,Jul 2022,Q3,2022 Week 31
2022W32,2022W32,2022-07-31,2022-08-06,2022,32,7,Jul 2022,Q3,2022 Week 32
2022W33,2022W33,2022-08-07,2022-08-13,2022,33,8,Aug 2022,Q3,2022 Week 33
2022W34,2022W34,2022-08-14,2022-08-20,2022,34,8,Aug 2022,Q3,2022 Week 34
2022W35,2022W35,2022-08-21,2022-08-27,2022,35,8,Aug 2022,Q3,2022 Week 35
2022W36,2022W36,2022-08-28,2022-09-03,2022,36,8,Aug 2022,Q3,2022 Week 36
2022W37,2022W37,2022-09-04,2022-09-10,2022,37,9,Sep 2022,Q3,2022 Week 37
